epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,114110,0.34197,0.19512,0.81349,0.95922,0.94692,0.97134,0.7944,0.4185,0.20267,0.76462,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,116176,0.34236,0.19464,0.81609,0.95725,0.94851,0.97298,0.79845,0.41272,0.2024,0.76378,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,119011,0.34338,0.19514,0.81488,0.95781,0.95064,0.97223,0.79139,0.41935,0.20064,0.76456,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,121847,0.34164,0.19305,0.81253,0.96028,0.94745,0.9726,0.79797,0.40751,0.19933,0.76217,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,124686,0.34217,0.19284,0.81453,0.95485,0.95117,0.97276,0.79569,0.41535,0.20106,0.76408,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,127520,0.34792,0.19511,0.81569,0.9626,0.94108,0.97155,0.79685,0.41946,0.19968,0.76604,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,130352,0.3385,0.19111,0.81372,0.95947,0.94244,0.97128,0.79743,0.41426,0.19807,0.76532,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,133182,0.33598,0.19061,0.81229,0.96256,0.94268,0.97257,0.7949,0.41796,0.19944,0.76609,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,136002,0.33587,0.18783,0.81322,0.95869,0.94838,0.97295,0.79875,0.41045,0.19782,0.76456,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,138831,0.33078,0.18842,0.81184,0.96017,0.94691,0.97171,0.79296,0.41571,0.19685,0.76425,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
