epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2704.19,0.38337,0.29513,0.86713,0.96524,0.93663,0.97471,0.89214,0.364,0.27052,0.81711,0.000792325,0.000792325,0.000792325
55,2752.08,0.36941,0.29559,0.88569,0.94513,0.96419,0.9767,0.89522,0.35806,0.27333,0.81227,0.000775822,0.000775822,0.000775822
56,2800.09,0.38452,0.29012,0.86634,0.96805,0.92741,0.97413,0.89072,0.36801,0.27301,0.81682,0.000759318,0.000759318,0.000759318
57,2849.11,0.37464,0.28941,0.86818,0.95379,0.95259,0.97653,0.89508,0.36363,0.26917,0.82116,0.000742815,0.000742815,0.000742815
58,2895.96,0.35835,0.279,0.8676,0.95115,0.94484,0.97297,0.893,0.35493,0.2687,0.81306,0.000726312,0.000726312,0.000726312
59,2943.35,0.37725,0.29178,0.87082,0.96142,0.93539,0.97176,0.89109,0.36108,0.26984,0.81638,0.000709809,0.000709809,0.000709809
60,2990.89,0.35277,0.28242,0.86267,0.95977,0.94194,0.97454,0.89271,0.36113,0.26412,0.817,0.000693305,0.000693305,0.000693305
61,3037.44,0.35779,0.27887,0.87214,0.94752,0.95887,0.97574,0.89921,0.35913,0.26219,0.81039,0.000676802,0.000676802,0.000676802
62,3085.52,0.35588,0.27814,0.85002,0.95178,0.96409,0.97596,0.89956,0.34438,0.25777,0.81062,0.000660299,0.000660299,0.000660299
63,3134.12,0.34749,0.27792,0.85075,0.95769,0.96289,0.976,0.89727,0.3454,0.24864,0.80727,0.000643795,0.000643795,0.000643795
64,3181.48,0.34906,0.28331,0.85454,0.94935,0.95208,0.97769,0.89953,0.35206,0.26612,0.8164,0.000627292,0.000627292,0.000627292
65,3229.09,0.35715,0.27378,0.86677,0.94777,0.96235,0.97844,0.90262,0.34837,0.24888,0.80921,0.000610789,0.000610789,0.000610789
66,3278.44,0.35669,0.27442,0.86418,0.93146,0.96635,0.98133,0.90699,0.33848,0.25002,0.80395,0.000594286,0.000594286,0.000594286
67,3327.74,0.33921,0.26457,0.85438,0.9332,0.96784,0.97497,0.90543,0.3545,0.24582,0.8201,0.000577782,0.000577782,0.000577782
68,3374.97,0.33603,0.26371,0.85015,0.95646,0.94191,0.97675,0.90371,0.33673,0.25098,0.80634,0.000561279,0.000561279,0.000561279
69,3422.66,0.36367,0.28204,0.86631,0.96006,0.95137,0.9818,0.90077,0.34625,0.243,0.80975,0.000544776,0.000544776,0.000544776
70,3470,0.33868,0.26291,0.85106,0.96486,0.944,0.97681,0.9049,0.33758,0.25755,0.80883,0.000528272,0.000528272,0.000528272
71,3518.53,0.32586,0.25634,0.85381,0.9645,0.94421,0.97388,0.90458,0.32956,0.24416,0.8051,0.000511769,0.000511769,0.000511769
72,3566.17,0.32531,0.25195,0.8647,0.94492,0.96008,0.97452,0.90157,0.33552,0.25013,0.81111,0.000495266,0.000495266,0.000495266
73,3613.2,0.33798,0.25629,0.85483,0.94209,0.96182,0.97316,0.8965,0.35306,0.24507,0.8289,0.000478762,0.000478762,0.000478762
74,3661.26,0.338,0.25332,0.84598,0.93452,0.95364,0.97823,0.90304,0.33027,0.25452,0.8103,0.000462259,0.000462259,0.000462259
75,3709.27,0.31933,0.24275,0.85138,0.94612,0.95436,0.97911,0.90931,0.32515,0.23964,0.80804,0.000445756,0.000445756,0.000445756
76,3756.68,0.34751,0.26219,0.86267,0.97124,0.93118,0.98031,0.90841,0.32594,0.23312,0.80707,0.000429253,0.000429253,0.000429253
77,3804.56,0.33536,0.25147,0.86188,0.95967,0.95734,0.98103,0.90824,0.32325,0.22445,0.8082,0.000412749,0.000412749,0.000412749
78,3853.18,0.33374,0.25072,0.84978,0.96509,0.94296,0.98033,0.90767,0.32357,0.22912,0.81164,0.000396246,0.000396246,0.000396246
79,3902.12,0.32445,0.25042,0.84567,0.95625,0.95189,0.98165,0.91027,0.31994,0.23119,0.80425,0.000379743,0.000379743,0.000379743
80,3952.35,0.31079,0.23464,0.84632,0.95361,0.95111,0.97915,0.90897,0.32646,0.23311,0.80795,0.000363239,0.000363239,0.000363239
81,4002.41,0.32609,0.24512,0.84305,0.97278,0.93261,0.97697,0.90875,0.32047,0.23636,0.80677,0.000346736,0.000346736,0.000346736
82,4049.96,0.31202,0.23262,0.84618,0.96056,0.94572,0.97449,0.90639,0.32618,0.23301,0.80367,0.000330233,0.000330233,0.000330233
83,4100.48,0.30658,0.22903,0.83638,0.95415,0.96123,0.9766,0.91099,0.31464,0.23533,0.80537,0.000313729,0.000313729,0.000313729
84,4151,0.29564,0.22845,0.84583,0.95616,0.9559,0.9786,0.91287,0.31187,0.22531,0.80333,0.000297226,0.000297226,0.000297226
85,4200.88,0.31592,0.24051,0.84676,0.94999,0.95248,0.97684,0.91074,0.31324,0.22651,0.80507,0.000280723,0.000280723,0.000280723
86,4246.38,0.30565,0.23369,0.84992,0.9682,0.93394,0.97978,0.9145,0.30628,0.22138,0.80181,0.00026422,0.00026422,0.00026422
87,4291.76,0.28879,0.22792,0.83597,0.96234,0.94476,0.98069,0.91807,0.30557,0.22032,0.80024,0.000247716,0.000247716,0.000247716
88,4334.48,0.28513,0.21962,0.83641,0.95738,0.94625,0.98026,0.91604,0.30502,0.21655,0.8015,0.000231213,0.000231213,0.000231213
89,4376.74,0.30022,0.23197,0.83441,0.96405,0.95632,0.97868,0.91564,0.30327,0.22026,0.80056,0.00021471,0.00021471,0.00021471
90,4420.03,0.29287,0.22451,0.85092,0.95436,0.95083,0.97973,0.9177,0.313,0.22568,0.80601,0.000198206,0.000198206,0.000198206
91,4463.99,0.23959,0.1841,0.79656,0.95177,0.95774,0.97774,0.90279,0.31613,0.2257,0.80487,0.000181703,0.000181703,0.000181703
92,4506.26,0.23859,0.17547,0.79083,0.9667,0.95683,0.98074,0.91219,0.3251,0.2162,0.81423,0.0001652,0.0001652,0.0001652
93,4548.72,0.23257,0.17176,0.78749,0.96432,0.95887,0.98069,0.91499,0.31422,0.21881,0.80466,0.000148696,0.000148696,0.000148696
94,4590.87,0.243,0.1771,0.79256,0.96096,0.94788,0.97895,0.91481,0.31157,0.22111,0.80184,0.000132193,0.000132193,0.000132193
95,4634.24,0.23522,0.17168,0.79033,0.96589,0.9377,0.97891,0.91613,0.30897,0.21994,0.79967,0.00011569,0.00011569,0.00011569
96,4678.69,0.23266,0.16946,0.77927,0.97023,0.94084,0.98157,0.91933,0.30634,0.21404,0.80096,9.91865e-05,9.91865e-05,9.91865e-05
97,4724.12,0.23727,0.16997,0.79012,0.96461,0.94197,0.9802,0.91999,0.30592,0.21617,0.80249,8.26832e-05,8.26832e-05,8.26832e-05
98,4769.31,0.23048,0.1683,0.79374,0.95466,0.95805,0.97962,0.92035,0.30465,0.21795,0.80088,6.61799e-05,6.61799e-05,6.61799e-05
99,4812.74,0.21797,0.16383,0.78336,0.95534,0.95375,0.98074,0.91826,0.3025,0.21797,0.80079,4.96766e-05,4.96766e-05,4.96766e-05
100,4848.2,0.2193,0.16534,0.77826,0.96046,0.95163,0.98205,0.91939,0.30201,0.21599,0.80157,3.31733e-05,3.31733e-05,3.31733e-05
