epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,33179.8,0.6434,0.36796,0.97943,0.95015,0.9189,0.96154,0.74562,0.76913,0.3718,1.07612,0.00208,0.00208,0.00208
82,33587.1,0.6298,0.35854,0.96825,0.95833,0.93213,0.96494,0.74393,0.77061,0.36686,1.07711,0.001981,0.001981,0.001981
83,33995.9,0.62827,0.34883,0.96604,0.95192,0.92869,0.96262,0.74651,0.76315,0.36547,1.07022,0.001882,0.001882,0.001882
84,34407.9,0.64024,0.35286,0.96822,0.95665,0.92197,0.96053,0.74538,0.7643,0.36243,1.07344,0.001783,0.001783,0.001783
85,34817.3,0.61808,0.34582,0.96409,0.95431,0.92683,0.95854,0.74702,0.7627,0.35898,1.0753,0.001684,0.001684,0.001684
86,35226.7,0.61915,0.34715,0.96256,0.95015,0.92779,0.96176,0.74118,0.77852,0.36505,1.0895,0.001585,0.001585,0.001585
87,35635.1,0.60335,0.34139,0.96145,0.95377,0.92342,0.95932,0.73879,0.78065,0.36556,1.09493,0.001486,0.001486,0.001486
88,36044.1,0.61743,0.34048,0.96501,0.95576,0.9292,0.96216,0.74317,0.77521,0.36152,1.08971,0.001387,0.001387,0.001387
89,36453,0.59889,0.3413,0.95855,0.95967,0.92409,0.95875,0.74517,0.77214,0.35805,1.08593,0.001288,0.001288,0.001288
90,36861.7,0.60966,0.33883,0.95994,0.95613,0.92125,0.95783,0.74499,0.77422,0.36322,1.09011,0.001189,0.001189,0.001189
91,37262.5,0.58409,0.2886,0.92655,0.95827,0.9116,0.95796,0.74374,0.77056,0.35807,1.08487,0.00109,0.00109,0.00109
92,37652.9,0.57695,0.27832,0.9206,0.96116,0.90589,0.95845,0.74899,0.77269,0.35932,1.08086,0.000991,0.000991,0.000991
93,38047.4,0.56686,0.27601,0.91682,0.96699,0.90633,0.96398,0.75285,0.7733,0.35796,1.08379,0.000892,0.000892,0.000892
94,38438.1,0.56142,0.27049,0.91565,0.96294,0.90907,0.96334,0.75223,0.77554,0.3554,1.08841,0.000793,0.000793,0.000793
95,38826.9,0.55099,0.2673,0.90931,0.95153,0.91653,0.96384,0.75424,0.77665,0.35215,1.09422,0.000694,0.000694,0.000694
96,39218.8,0.54451,0.26564,0.90307,0.95718,0.90282,0.95641,0.75285,0.77882,0.35374,1.09535,0.000595,0.000595,0.000595
97,39606.8,0.54278,0.26456,0.90492,0.95658,0.9083,0.9596,0.75253,0.78041,0.35134,1.09682,0.000496,0.000496,0.000496
98,39995,0.53319,0.26031,0.90749,0.95658,0.91309,0.96097,0.753,0.7815,0.35058,1.09717,0.000397,0.000397,0.000397
99,40382.9,0.53551,0.25499,0.89811,0.96597,0.90718,0.96107,0.7536,0.7828,0.35224,1.09993,0.000298,0.000298,0.000298
100,40773.3,0.52159,0.25059,0.8925,0.95987,0.9093,0.96115,0.75323,0.78097,0.35394,1.09923,0.000199,0.000199,0.000199
